"Nº reporte";"Url del reporte";"Usuario";"Grupo";"Fecha del evento";"Hora del evento";"Precisión";"Fecha introducción";"Tipo de fenómeno";"Fiabilidad";"Latitud";"Longitud";"Altitud";"Provincia";"Localidad";"Dirección";"Cod_postal";"Detalles lugar";"Descripción del suceso";"¿Es multirreporte?";"¿Es destacado?";"Daños en bienes";"Daños en campo";"Total daños";"Nº heridos";"Nº muertos";"Fuentes de la información";"Tipo de vórtice";"Nº de vórtices";"¿Otros fenómenos?";"Fujita";"Torro";"Vel.viento Km/h";"¿Nube embudo?";"Nº vórtices en tuba";"Duración";"Otros meteoros";"Longitud trayectoria";"Anchura med. trayectoria";"Anchura máx trayectoria";"Dirección de avance";"Distancia tuba-suelo";"Aumento temperatura";"Tamaño máx. granizo";"Tamaño med. granizo";"Peso máx. granizo";"Espesor capa granizo";"Aspecto del granizo";"Precipitación total";"Hora inicio";"Máx. prec. 5min";"Máx. prec. 10min";"Máx. prec. 15min";"Máx. prec. 30min";"Máx. prec. 1h";"Máx. prec. 3h";"Máx. prec. 24h";"¿Tormenta?";"Tipo de precipitación";"Diametro promedio granizo";"Nieve acumulada";"Equivalencia en agua";"Nieve acumulada en máx. intensidad";"Equivalencia en agua en máx. intensidad";"Duración pico intensidad";"¿Hubo tormenta?";"Tipo de avalancha";"Tipo de flujo";"Tipo de nieve";"Probabilidad de aludes";"Causa de avalancha";"Altitud inicio";"Diferencia altitud inicio-fin";"Cobertura nubosa";"¿Sabe temperatura exacta?";"Temperatura exacta";"Temperatura aproximada";"Velocidad viento";"Dirección viento";"Espesor hielo";"Tipo fenómeno marítimo";"Comentario fen. marítimo"
"1816";"https://sinobas.aemet.es/index.php?pag=detal&rep=1816";"icaballerol";"AEMET";"2023-07-06";"19:50";"+/- 15 minutos";"2023-07-27";"Granizada Singular";"Alta";"42.806";"-2.908";"523";"Araba";"";"Pobes Entitatea, 17, 01420, Araba, España";"01420";"El usuario de Twitter “Meteo Bilbao” subió fotografías y videos de la granizada en Pobes, realizadas en el aparcamiento público entre el polideportivo y el ayuntamiento de Pobes.";"El día 6 de julio de 2023 entre las 19:40 y las 20:40 hora local una supercélula convectiva cruzó desde el suroeste al nordeste la provincia de Álava. 

A las 19:45 hora local, la imagen visible de alta resolución del satélite Meteosat muestra una supercélula abarcando aproximadamente desde Orduña hasta Vitoria y desde Murguía a Pobes, centrada en la vertical sobre los barrios occidentales de Vitoria.

A las 20:00 hora local, la imagen visible de alta resolución del satélite Meteosat revela la supercélula centrada sobre la vertical de Vitoria, con un tope superior de forma circular, englobando aproximadamente desde Murguía a Arcaute y desde Gorbea hasta Vitoria.

	La evidencia, las fotografías y videos subidos a Twitter por el usuario “Meteo Bilbao”, cuyos enlaces de Internet son subidos a Sinobas por el Jefe de Estudios y Desarrollos de la Delegación de Aemet en el País Vasco:

https://twitter.com/meteo_bilbao/status/1677025856974143490?s=20 y https://twitter.com/meteo_bilbao/status/1677021298881355801?s=20";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"";"";"";"";"";"";"";"";"15 minutos";"";"";"";"";"";"";"";"Mayor de 7";"Entre 5 y 6";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1817";"https://sinobas.aemet.es/index.php?pag=detal&rep=1817";"icaballerol";"AEMET";"2023-07-06";"17:25";"+/- 15 minutos";"2023-08-24";"Granizada Singular";"Alta";"42.878";"-2.510";"568";"Álava";"Echávarri-Urtupiña";"VFHQ+8V Echávarri-Urtupiña, España";"01206";"A las 17:55 el usuario de Twitter “Manu Ibarreta León” subió a Twitter fotografías de la granizada, realizadas en la salida del Km 367 de la A1, justo al este de la gasolinera de “Repsol Olaona”.";"El día 6 de julio de 2023 entre las 17:00 y las 17:50 hora local una tormenta se desplazó desde la zona del parque de Salburúa hacia el nordeste. 

La evidencia, las fotografías subidas a Twitter por el usuario “Manu Ibarreta León”, cuyo enlace de Internet es subido a Sinobas por el Jefe de Estudios y Desarrollos de la Delegación de Aemet en el País Vasco.";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"";"";"";"";"";"";"";"";"30 minutos";"";"";"";"";"";"";"";"Mayor de 7";"Entre 5 y 6";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1818";"https://sinobas.aemet.es/index.php?pag=detal&rep=1818";"iabial";"AEMET";"2023-06-12";"17:00";"+/- 15 minutos";"2023-09-04";"Granizada Singular";"Alta";"42.854";"-5.672";"1005";"León";"La Pola de Gordón";"C. Capitán Lozano, 21, 24600 La Pola de Gordón, León, España";"24600";"Granizada en La Pola de Gordón (León) el 12 de junio de 2023, que dejó intransitables las calles de la localidad, provocando inundaciones en su centro de Salud. La información quedó reflejada en distintos medios de comunicación y redes sociales.";"Según informa el Diario de León, y mencionando las declaraciones hechas por la alcaldesa Noemí González, serían las cinco de la tarde cuando el cielo se abrió y comenzó a caer agua y, sobre todo, granizo que anegó las calles. En menos de una hora el pueblo quedó prácticamente intransitable.";"NO";"NO";"Inundaciones en el centro de salud y inhabilitación del tráfico en las calles de la localidad";"";"";"";"";"Información en los medios, Fotos o videos del evento";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Entre 3 y 4";"SD";"SD";"SD";"Agregados";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1820";"https://sinobas.aemet.es/index.php?pag=detal&rep=1820";"jriescom";"AEMET";"2023-09-02";"06:00";"+/- 1 hora";"2023-09-07";"Tornado / Tromba Marina";"Alta";"36.627";"-4.492";"5";"Málaga";"Torremolinos";"P.º de Maritimo Torremolinos, 3, 29620 Torremolinos, Málaga, España";"29620";"Tromba marina nocturna que tocó tierra en la playa del Bajondillo (Torremolinos, Málaga)";"Situación de DANA entrando una célula convectiva de mar a tierra y generándose una tromba marina en el mar que tocó tierra en la Playa del Bajondillo (Torremolinos)";"NO";"NO";"Al tocar tierra la tromba marina ocasionó leves daños en la zona del Bajondillo, afectando principalmente a una parcela de hamacas y sombrillas";"";"";"";"";"Información en los medios, Información en sitios webs, Fotos o videos del evento";"Tornado";"1";"";"EF0: 105-137 km/h";"SD";"";"Si";"1";"SD";"Lluvia fuerte, Tormenta";"SD";"SD";"SD";"sur a norte";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1821";"https://sinobas.aemet.es/index.php?pag=detal&rep=1821";"jsuarezga";"AEMET";"2023-08-23";"01:20";"+/- 5 minutos";"2023-09-11";"Reventón Cálido";"Alta";"43.523";"-5.626";"22";"Asturias";"";"Plaza Campus Universitario, 92A, 33394, Asturias, España";"33394";"Estación 1207U Gijón Campus.
C\ Luis Ortiz Berrocal s/n Campus de Gijón 33203 Gijón (Asturias)";"En la madrugada (alrededor de las 01:20 UTC) del día 23 de Agosto de 2023 se registró un  aumento de temperatura en el observatorio de Gijón Campus de casi 10ºC en menos de 10 minutos (32ºC de máxima, record de las estaciones de Asturias para ese día). La humedad relativa también descendió bruscamente. Este mismo comportamiento, aunque en menor medida, se observó en el observatorio Gijón-Musel, a una distancia de 7 km en dirección NW. 
Durante esa madrugada la imagen de radar reflejó actividad convectiva sobre la zona. El perfil del sondeo previsto mostraba mucha humedad y temperaturas más frías en superficie y aire cálido y seco por encima, con la consiguiente inversión. Los movimientos verticales pudieron romper esta inversión, y la masa de aire cálido y seco alcanzó la superficie. La racha máxima de viento superó los 45km/h.";"NO";"NO";"";"";"";"";"";"Informe por un meteorólogo profesional";"";"";"";"SD";"SD";"45";"";"";"10 minutos";"Sin Precipitación";"SD";"SD";"SD";"SD";"";"+9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1822";"https://sinobas.aemet.es/index.php?pag=detal&rep=1822";"jnunez";"AEMET";"2023-09-12";"21:05";"+/- 5 minutos";"2023-09-20";"Precipitación Súbita Torrencial";"Alta";"38.991";"-0.523";"103";"Valencia";"Játiva";"Av. de Gregorio Molina, 4, 46800 Játiva, Valencia, España";"46800";"Lluvia torrencial en la ciudad de Xàtiva, prácticamente restringida a esta localidad. En otras próximas hubo lluvia fuerte o muy fuerte, pero sin llegar a torrencialidad.";"Tormentas que recorrieron el sur de la provincia de Valencia del interior a la costa, intensificándose en la zona de Xàtiva.";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"60 minutos";"";"";"";"";"";"";"";"";"";"";"";"";"67";"21:00";"";"18";"27";"38";"66";"";"67";"Si";"Lluvia y granizo";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1823";"https://sinobas.aemet.es/index.php?pag=detal&rep=1823";"jnunez";"AEMET";"2023-08-26";"18:05";"+/- 15 minutos";"2023-09-20";"Tornado / Tromba Marina";"Alta";"39.499";"-0.738";"317";"Valencia";"Chiva";"C. Azabache, 163, 46370 Chiva, Valencia, España";"46370";"";"Alrededor de las 18 horas del día 26 de agosto de 2023 se produjo el colapso de una tormenta, posiblemente supercelular, al norte de la población de Chiva, en la zona de la Urbanización Pedrizas. Además de las imágenes radar, los campos termodinámicos eran favorables para la generación de tornados.
Se recibieron varias imágenes y vídeos del fenómeno, en alguna de las cuales se podía observar un embudo que colgaba de la nube en forma de tornado tocando tierra. Por los testimonios que se recibieron de la zona, siendo el principal el del colaborador de la red secundaria de AEMET de Chiva, el tornado tuvo una corta duración, no afectó a la población de Chiva y solo consta que afectó a la urbanización Pedrizas. Por los débiles daños provocados se deduce que el tornado tuvo categoría EF0, de acuerdo con la escala de Fujita realzada y corta duración. En esta zona las rachas de viento debieron oscilar entre 100 km/h y 137 km/h.";"NO";"NO";"Tornado que tocó tierra en la Urbanización Pedrizas, al noroeste de la población de Chiva. Esta urbanización Pedrizas se encuentra precisamente situada en la zona donde posiblemente colapsó la tormenta, dando lugar al tornado que se vio en las imágenes y que solo se tiene constancia de que afectó a esa urbanización, sin llegar a la población de Chiva. En las imágenes de la figura 1 se ha indicado la situación de la urbanización unos kilómetros al noroeste del núcleo de población de Chiva.";"Pequeños daños tales como levantamiento de un tejado, rotura de toldos, movimiento de contenedores y otros daños menores.";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Fotos o videos del evento, Informe por un aficionado entrenado, Informe por un meteorólogo aficionado";"Tornado";"1";"";"EF0: 105-137 km/h";"T1: 87-115 km/h";"";"Si";"1";"5 minutos";"";"SD";"SD";"SD";"oeste a este";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1827";"https://sinobas.aemet.es/index.php?pag=detal&rep=1827";"jnunez";"AEMET";"2023-08-26";"18:40";"+/- 15 minutos";"2023-09-25";"Reventón / Frente de racha";"Alta";"39.568";"-0.521";"97";"Valencia";"L'Eliana";"Carrer Rei Pere El Ceremonios, 30, 46183 L'Eliana, Valencia, España";"46183";"El día 26 de agosto de 2023, una línea de tormentas que se extendía desde el norte de la provincia de Valencia hasta el norte de Castellón se iba desplazando rápidamente de oeste a este a una velocidad aproximada de 30 km/h, afectando a localidades del prelitoral norte de Valencia, como l’Eliana o San Antonio de Benagéber sobre las 18:40 horas y al aeropuerto de València sobre las 18:50 hora oficial de verano.";"El día 26 de agosto de 2023, una línea de tormentas que se extendía desde el norte de la provincia de Valencia hasta el norte de Castellón se iba desplazando rápidamente de oeste a este a una velocidad aproximada de 30 km/h, afectando a localidades del prelitoral norte de Valencia, como l’Eliana o San Antonio de Benagéber sobre las 18:40 horas y al aeropuerto de València sobre las 18:50 hora oficial de verano.
A las 18:40 la parte más activa de la tormenta se situaba en localidades del Camp de Túria como l’Eliana o San Antonio de Benagéber, con reflectividad máxima de 59 dBz, velocidad de traslación estimada de 32 km/hora, ecos de precipitación a 15.5 km de altitud y granizo grande probable. Aproximadamente 10 minutos más tarde (figura 1, abajo), el máximo de reflectividad se había desplazado hacia el este, afectando a la zona del aeropuerto de Valencia, donde se produjo un intenso chubasco de corta duración que acumuló 8.4 l/m2 en menos de 10 minutos, con intensidad máxima de precipitación de 50.4 l/m2/hora a las 18:55, provocó viento racheado muy fuerte, con un registro máximo de 115 km/h a las 18:51 horas y un ascenso transitorio de la presión.
El sistema de detección de descargas registró 127 impactos de rayos en tierra entre las 18:06 y las 18:59 del día 26 de agosto de 2023 en un radio de 10 km alrededor de la localidad de l’Eliana.
Las tormentas se formaron en zonas del interior de las provincias de Valencia y Castellón y se reactivaron en zonas prelitorales por las convergencias de viento y humedad que se estaban produciendo en la zona que favorecía los ascensos en un ambiente muy inestable. 
La inestabilidad era muy elevada; la Energía Potencial Disponible para la Convección, CAPE, prevista por el modelo IFS para las 15 UTC era de 3775 J/kg en el punto más próximo a l’Eliana y 3741 J/kg en el punto más próximo al aeropuerto de València, una Energía Potencial Disponible para la Convección calculada desde las condiciones de superficie, SBCAPE, era de 3941 J/kg en l’Eliana y 3929 en el aeropuerto, y los índices LI y LI7 inferiores a -8 y -2, respectivamente, a lo se unió la intensa convergencia del flujo de humedad en la zona litoral y prelitoral, lo que aumentó la inestabilidad potencial en niveles bajos.";"NO";"NO";"En la zona entre el aeropuerto de València, l’Eliana, San Antonio de Benagéber y la Pobla de Vallbona se notificó a través de diversas fuentes la presencia de granizo grande, intensas precipitaciones de corta duración y rachas de viento que provocaron daños dispersos en zonas de esos términos municipales, consistentes sobre todo caída de arbolado y ramas de árboles, daños en algunos tejados, antenas y placas solares. No fueron daños generalizados, sino que se localizaron de forma dispersa, lo que es coherente con la presencia de rachas de viento singularmente más fuertes en unas zonas que en otras próximas, siempre de muy corta duración y asociadas al paso de la tormenta.";"";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños, Información en documentos científicos";"";"";"";"EF0: 105-137 km/h";"T2: 116-147 km/h";"115";"";"";"5 minutos";"Lluvia fuerte, Granizo grande (&gt;2 cm.)";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1829";"https://sinobas.aemet.es/index.php?pag=detal&rep=1829";"MMANJONL";"AEMET";"2023-09-11";"15:30";"+/- 15 minutos";"2023-09-25";"Granizada Singular";"Alta";"43.161";"-2.783";"90";"Bizkaia";"Igorre";"Garbe Kalea, 12A, 48140 Igorre, Bizkaia, España";"48140";"";"Sistema convectivo";"NO";"NO";"Daños en bienes y en personas";"";"";"1";"";"Información en los medios";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Entre 5 y 6";"SD";"SD";"SD";"Agregados";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1830";"https://sinobas.aemet.es/index.php?pag=detal&rep=1830";"iabial";"AEMET";"2023-07-07";"15:20";"+/- 15 minutos";"2023-09-26";"Granizada Singular";"Alta";"43.021";"-3.353";"704";"Burgos";"Villaventín";"C. el Pozo, 16, 09510 Villaventín, Burgos, España";"09510";"";"No se especifica en el enlace publicado en  tweeter.";"NO";"NO";"";"";"";"";"";"Información en los medios";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Entre 6 y 7";"SD";"SD";"SD";"Agregados";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1831";"https://sinobas.aemet.es/index.php?pag=detal&rep=1831";"jnunez";"AEMET";"2023-05-12";"18:10";"+/- 15 minutos";"2023-09-28";"Tornado / Tromba Marina";"Alta";"39.964";"-1.021";"1201";"Valencia";"La Torre";"Aldea Torre-r.s, 2, 46178 La Torre, Valencia, España";"46178";"Poco después de las 18 horas del día 12 de mayo de 2023 se produjo un desarrollo rápido de cúmulos en las sierras limítrofes entre el norte de Valencia y el sur de Castellón que poco después derivaron en tormentas en la zona.  
En el día en cuestión se recibieron varias imágenes y un vídeo de una tuba que colgaba de la nube y un remolino por debajo que llegaba hasta la superficie en la zona de la Torre, en Alpuente.";"Previo al desarrollo de la nubosidad en la zona estaba soplando viento de noroeste y el perfil atmosférico era muy seco, débil inestabilidad con un CAPE de 30 J/Kg. Además de inestabilidad, había un ambiente con valores suficientes de cizalladura y helicidad relativa a la tormenta en los primeros 3 kilómetros como para producir rotaciones (CIZ3: 6.8 m/s y Helicidad relativa a la tormenta (SRH) hacia la derecha en los primeros 3 km de 75.8 m2/s2).
Previo a las 18 horas en la zona soplaba con fuerza el viento de noroeste en Alpuente, pero por el sureste comenzó a entrar un frente de brisa poco profundo que dio lugar a convergencias de viento y ascensos forzados por las convergencias y la orografía.
Por la situación descrita, la hipótesis más probable es que con la inestabilidad y un ambiente favorable para la generación de rotaciones y las convergencias de vientos y los ascensos forzados, se pudo haber formado un tornado de tipo landspout, por estiramiento vertical convectivo de vórtices preexistentes en capas bajas, debido fundamentalmente a la zona frontera que se produjo en superficie como consecuencia de las convergencias de viento y de las diferentes características de temperatura y humedad de la masa de aire establecida en la zona previa a la entrada de la brisa y de la masa de aire marítima procedente del sureste.
El ciclo de vida de estos tornados suele ser corto y restringido a los primeros estadios de la convección, con los primeros desarrollos de los cúmulos.";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"Tornado";"1";"";"EF0: 105-137 km/h";"T1: 87-115 km/h";"";"Si";"1";"5 minutos";"Tormenta";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1832";"https://sinobas.aemet.es/index.php?pag=detal&rep=1832";"jnunez";"AEMET";"2023-05-13";"01:40";"+/- 1 hora";"2023-09-28";"Tornado / Tromba Marina";"Alta";"38.883";"-0.033";"4";"Alicante";"Dénia";"Carrer Riu Torre de les Mança, 3B, 03779 Dénia, Alicante, España";"03779";"A primera hora de la madrugada del día 13 de mayo de 2023 se observaron tormentas en el mar frente al litoral de Denia, en la zona de Les Deveses, en el límite con la provincia de Valencia. Estas tormentas también afectaron a una estrecha franja litoral tierra adentro. La hipótesis más probable es que dentro de la estructura convectiva se formase un una tromba marina en el mar que tocó tierra en forma de tornado afectando la playa de Les Deveses (concretamente la de Santa Anna), provocando daños en construcciones próximas al mar. Unas pocas decenas de metros después de tocar tierra el tornado se disipó.";"En la madrugada del día 13 de mayo de 2023 se estuvieron produciendo precipitaciones acompañadas de tormenta en el mar frente al litoral norte de la provincia de Alicante, en el término municipal de Denia.
Es muy frecuente que durante una situación de inestabilidad mediterránea como la descrita anteriormente, con inestabilidad y un ambiente favorable para la generación de rotaciones, se produzcan trombas marinas tipo waterspout por estiramiento vertical convectivo de vórtices preexistentes en capas bajas, debido fundamentalmente a zonas fronteras o discontinuidades en superficie y a convergencias entre brisas de mar y de tierra muy cerca de la costa. La situación de viento en la zona era favorable para la generación de esas convergencias, con brisas de tierra convergiendo con un débil levante en el mar. A veces esas trombas tocan tierra unos cientos de metros en forma de tornado.";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"Tornado";"1";"";"menor que EF0";"T1: 87-115 km/h";"";"No";"1";"SD";"Tormenta";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1833";"https://sinobas.aemet.es/index.php?pag=detal&rep=1833";"jnunez";"AEMET";"2023-06-02";"10:00";"+/- 1 hora";"2023-09-28";"Tornado / Tromba Marina";"Alta";"39.276";"-0.267";"0";"Valencia";"El Perelló";"7PGM+68 El Perelló, España";"46420";"";"Inestabilidad marítima y formación de tromba marina en el Perelló";"NO";"NO";"Tromba marina frente a la costa de El Perelló";"";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1834";"https://sinobas.aemet.es/index.php?pag=detal&rep=1834";"iabial";"AEMET";"2023-06-18";"18:00";"+/- 1 hora";"2023-10-03";"Granizada Singular";"Alta";"41.429";"-3.370";"1029";"Segovia";"Ayllón";"CJHJ+H3 Ayllón, España";"40520";"Importante granizada esta tarde en Ayllón (Segovia) con desbordamiento del rio Aguijeso . Hasta 47mm han caido.  Información procedente de tweeter de Adrián Escobar";"Importante granizada esta tarde en Ayllón (Segovia) con desbordamiento del rio Aguijeso . Hasta 47mm han caido.  Información procedente de tweeter de Adrián Escobar";"NO";"NO";"";"";"";"";"";"Información en los medios";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Entre 3 y 4";"Entre 2 y 3";"SD";"SD";"Agregados";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1835";"https://sinobas.aemet.es/index.php?pag=detal&rep=1835";"jnunez";"AEMET";"2023-06-29";"21:30";"+/- 15 minutos";"2023-10-03";"Granizada Singular";"Alta";"40.524";"0.290";"274";"Castelló";"Traiguera";"Carrer Major, 10, 12330 Traiguera, Castelló, España";"12330";"Granizado con piedras de tamaño superior a una nuez";"Tormentas con rápido movimiento de oeste a este que dejaron importantes granizadas en el interior norte de Castellón como la Jana, Traiguera o Canet lo Roig";"NO";"NO";"";"";"";"";"";"Información en los medios, Fotos o videos del evento, Información en documentos científicos";"";"";"";"";"";"";"";"";"5 minutos";"";"";"";"";"";"";"";"Entre 4 y 5";"Entre 3 y 4";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1836";"https://sinobas.aemet.es/index.php?pag=detal&rep=1836";"jnunez";"AEMET";"2023-07-03";"18:25";"+/- 15 minutos";"2023-10-03";"Granizada Singular";"Alta";"39.479";"-0.376";"15";"Valencia";"València";"Plaça dels Furs, s/n, 46003 València, Valencia, España";"46003";"Granizada en Valencia y área metropolitana del tamaño de nuez y mayor.";"Tormenta muy fuerte con granizo afectando al norte de Valencia, entre otras zonas a la capital";"NO";"NO";"Según la prensa, tres personas han resultado heridas de manera leve con lesiones en la cabeza tras caerles bolas de granizo. Ha ocurrido en la calle San José de Montaña y Francisco Cubells y dos de los afectados han sido un varón de 70 años y una mujer de 20 años, respectivamente.

En toda la ciudad hay 15 servicios de grandes ramas caídas con daños en vehículos y también desprendimientos de cornisa a consecuencia de la lluvia. También ha habido 4 accidentes de tráfico, sin heridos.

Lo ocurrido ha obligado a cortar distintas calles y el granizo ha provocado la avería de los semáforos en cuatro intersecciones. De igual modo, los bomberos se encuentran actuando por la caída de cascotes en algunas fachadas.";"";"";"";"";"Testigo del evento, Testigo de los daños, Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"3 minutos";"";"";"";"";"";"";"";"Entre 5 y 6";"Entre 3 y 4";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1837";"https://sinobas.aemet.es/index.php?pag=detal&rep=1837";"jnunez";"AEMET";"2023-08-27";"10:40";"+/- 15 minutos";"2023-10-03";"Tornado / Tromba Marina";"Alta";"38.535";"-0.119";"0";"Alicante";"Benidorm";"Av. de Madrid, 6, 03503 Benidorm, Alicante, España";"03503";"Tromba marina frente a la playa de Levante en Benidorm";"Tromba marina con ciclo de vida en el mar formada por estiramiento vertical de un vórtice preexistente";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Fotos o videos del evento";"Tornado";"1";"";"SD";"SD";"";"Si";"1";"SD";"Sin Precipitación";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1838";"https://sinobas.aemet.es/index.php?pag=detal&rep=1838";"jnunez";"AEMET";"2023-08-26";"18:20";"+/- 15 minutos";"2023-10-03";"Granizada Singular";"Alta";"40.616";"0.222";"458";"Castelló";"";"Carretera Vinaros, 9I, 12511, Castelló, España";"12511";"Tormenta afectando al extremo norte de Castellón con granizo grande";"Tormenta afectando al extremo norte de Castellón con granizo grande que pasó a la provincia de Tarragona afectando a localidades como La Sénia";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Mayor de 7";"Entre 4 y 5";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1839";"https://sinobas.aemet.es/index.php?pag=detal&rep=1839";"jnunez";"AEMET";"2023-08-26";"17:45";"+/- 15 minutos";"2023-10-03";"Granizada Singular";"Alta";"38.872";"-0.383";"317";"Valencia";"Castelló de Rugat";"Carrer Blasco Ibáñez, 23, 46841 Castelló de Rugat, Valencia, España";"46841";"Tormenta con granizo grande afectando a zonas de la Vall d'Albaida como Castelló de Rugat o Montixelvo";"Tormenta con granizo grande afectando a zonas de la Vall d'Albaida como Castelló de Rugat o Montixelvo";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Información en los medios, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"Entre 5 y 6";"Entre 3 y 4";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1840";"https://sinobas.aemet.es/index.php?pag=detal&rep=1840";"jnunez";"AEMET";"2023-07-11";"22:30";"+/- 5 minutos";"2023-10-03";"Reventón Cálido";"Alta";"39.900";"0.686";"1";"Castellón";"El Grao de Castellón";"Islas Columbretes";"12100";"Reventón cálido en las Islas Columbretes.";"El observador colaborador de las Islas Columbretes informó de que a las 22:30 tuvimos en la isla un fenómeno de reventón térmico. Subió la temperatura de repente 10 grados hasta los 41.1";"NO";"NO";"";"";"";"";"";"Informado por un testigo del evento, Informado por un testigo de los daños, Información en los medios, Información en sitios webs, Fotos o videos del evento, Información en documentos científicos";"";"";"";"EF0: 105-137 km/h";"T1: 87-115 km/h";"105";"";"";"5 minutos";"";"SD";"SD";"SD";"oeste a este";"";"+9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
